Fiscal Year,LEA Name,LEA Entity ID,School Name,School Entity ID,Asian,American Indian/Alaskan Native,Black/African American,Hispanic/Latino,White,Native Hawaiian/Pacific Islander,Multiple Races,Total
2022,Pima County JTED,89380,Pima County JTED/Pima Community College,1001816,*,*,*,*,*,*,*,17
2022,"Eduprize Schools, LLC",89412,EDUPRIZE SCHOOL Gilbert,5479,62,19,69,385,1015,*,27,1585
2022,"Eduprize Schools, LLC",89412,Eduprize School,89413,14,12,78,365,1194,11,*,1679
2022,"Eduprize Schools, LLC",89412,EDUPRIZE ONLINE INSTRUCTION,1001718,*,*,*,33,32,*,*,81
2022,"Sage Academy, Inc.",89414,Sage Academy,89415,*,*,49,54,45,*,*,166
2022,Arete Preparatory Academy,89486,Great Hearts Academies - Arete Prep,89487,39,*,31,138,293,*,37,546
2022,"Freedom Academy, Inc.",89506,Freedom Academy,80472,*,*,14,86,260,*,18,379
2022,"Concordia Charter School, Inc.",89556,Concordia Charter School,89557,*,*,*,96,*,*,*,112
2022,"Imagine Camelback Middle, Inc.",89561,Imagine Camelback Middle,89562,*,*,17,130,*,*,*,165
2022,"Imagine Desert West Middle, Inc.",89563,Imagine Desert West Middle,89564,*,*,39,395,*,*,*,448
2022,Devereux Florida,89638,Devereux Florida,89639,*,*,*,*,*,*,*,*
2022,City Of Phoenix Human Services Department,89718,Alhambra Head Start at Cordova Elementary School,8824,*,*,11,19,*,*,*,35
2022,City Of Phoenix Human Services Department,89718,T.G. Barr Elementary School Head Start,89419,*,*,*,15,*,*,*,19
2022,City Of Phoenix Human Services Department,89718,Bernard Black Elementary School Head Start,89420,*,*,*,13,*,*,*,20
2022,City Of Phoenix Human Services Department,89718,M.O. Bush Elementary,89422,*,*,*,27,*,*,*,38
2022,City Of Phoenix Human Services Department,89718,Cesar Chavez Community School Head Start,89423,*,*,*,37,*,*,*,42
2022,City Of Phoenix Human Services Department,89718,John R Davis School Head Start,89424,*,*,*,17,*,*,*,22
2022,City Of Phoenix Human Services Department,89718,John F Kennedy Elementary School Head Start,89426,*,*,*,14,*,*,*,20
2022,City Of Phoenix Human Services Department,89718,M.L. King Elementary School Head Start,89427,*,*,16,25,*,*,*,45
2022,City Of Phoenix Human Services Department,89718,Valley View Elementary Head Start,89431,*,*,*,14,*,*,*,16
2022,City Of Phoenix Human Services Department,89718,Acacia Elementary School Head Start,89761,*,*,*,11,*,*,*,23
2022,City Of Phoenix Human Services Department,89718,Alta Vista Elementary School Head Start,89762,*,*,*,13,*,*,*,19
2022,City Of Phoenix Human Services Department,89718,Desert View Elementary School Head Start,89763,*,*,*,*,*,*,*,16
2022,City Of Phoenix Human Services Department,89718,Manzanita Elementary School Head Start,89764,*,*,*,17,*,*,*,27
2022,City Of Phoenix Human Services Department,89718,Maryland Elementary School Head Start,89765,*,*,*,11,*,*,*,19
2022,City Of Phoenix Human Services Department,89718,Moon Mountain Elementary School Head Start,89766,*,*,*,*,*,*,*,17
2022,City Of Phoenix Human Services Department,89718,Mountain View School Head Start,89767,*,*,*,29,*,*,*,35
2022,City Of Phoenix Human Services Department,89718,Ocotillo Elementary School Head Start,89768,*,*,*,29,*,*,*,50
2022,City Of Phoenix Human Services Department,89718,Sahuaro Elementary School Head Start,89771,*,*,*,22,*,*,*,44
2022,City Of Phoenix Human Services Department,89718,Shaw Butte Elementary School Head Start,89772,*,*,*,20,*,*,*,30
2022,City Of Phoenix Human Services Department,89718,Sunnyslope Elementary Head Start,89773,*,*,*,14,*,*,*,16
2022,City Of Phoenix Human Services Department,89718,Washington Elementary Head Start,89774,*,*,*,17,*,*,*,22
2022,City Of Phoenix Human Services Department,89718,Richard E. Miller Elementary Head Start,90386,*,*,*,17,*,*,*,25
2022,City Of Phoenix Human Services Department,89718,Arroyo Elementary School Head Start,90756,*,*,*,*,*,*,*,14
2022,City Of Phoenix Human Services Department,89718,John Jacobs Elementary School Head Start,90767,*,*,*,*,*,*,*,15
2022,City Of Phoenix Human Services Department,89718,Sunburst Elementary Head Start,90783,*,*,*,*,11,*,*,18
2022,City Of Phoenix Human Services Department,89718,Tumbleweed Elementary Head Start,90785,*,*,*,*,*,*,*,11
2022,City Of Phoenix Human Services Department,89718,Fowler Elementary Head Start,91828,*,*,11,53,*,*,*,68
2022,City Of Phoenix Human Services Department,89718,Palo Verde Elementary School Head Start,92910,*,*,*,12,*,*,*,20
2022,City Of Phoenix Human Services Department,89718,Southwest Elementary School Head Start,475946,*,*,*,21,*,*,*,29
2022,City Of Phoenix Human Services Department,89718,Ignacio Conchos Elementary School Head Start,1000063,*,*,*,15,*,*,*,20
2022,City Of Phoenix Human Services Department,89718,C. Cloves Campbell Elementary Sr. Elementary School Head Start,1000383,*,*,*,*,*,*,*,16
2022,City Of Phoenix Human Services Department,89718,Ed Pastor Elementary School Head Start,1000384,*,*,*,12,*,*,*,18
2022,City Of Phoenix Human Services Department,89718,Alhambra Head Start at Westwood Elementary,1001801,*,*,*,27,*,*,*,40
2022,City Of Phoenix Human Services Department,89718,Alhambra Head Start Main Campus,1001802,*,*,*,43,*,*,*,51
2022,City Of Phoenix Human Services Department,89718,Alhambra Head Start at Granada Elementary,1001803,*,*,*,28,*,*,*,43
2022,City Of Phoenix Human Services Department,89718,Alhambra Head Start at Sevilla Elementary,1001804,*,*,*,29,*,*,*,42
2022,Scottsdale Preparatory Academy,89756,Great Hearts Academies - Scottsdale Prep,89757,126,*,*,89,583,*,42,850
2022,"Candeo Schools, Inc.",89758,Candeo Peoria,89759,52,*,*,58,424,*,34,572
2022,Head Start Washington Elementary School District,89760,Cactus Wren Elementary School Head Start,1000292,*,*,*,13,*,*,*,20
2022,"Imagine Avondale Elementary, Inc.",89784,Imagine Avondale Elementary,89785,*,*,56,337,40,*,16,455
2022,"Imagine Coolidge Elementary, Inc.",89786,Imagine Coolidge Elementary,89787,*,31,65,370,101,*,29,599
2022,"Imagine Prep Superstition, Inc.",89788,Imagine Prep Superstition,89789,*,*,16,136,190,*,*,357
2022,"Imagine Prep Surprise, Inc.",89790,Imagine Prep Surprise,89791,*,*,12,98,163,*,21,303
2022,"San Tan Montessori School, Inc.",89798,San Tan Charter School,89799,22,*,38,238,507,*,35,851
2022,Glendale Preparatory Academy,89829,Great Hearts Academies - Glendale Prep,89830,64,*,*,87,390,*,36,593
2022,"EAGLE South Mountain Charter, Inc.",89850,EAGLE College Prep,89851,*,*,31,347,42,*,31,468
2022,"Math and Science Success Academy, Inc.",89852,Math and Science Success Academy,89853,*,38,*,628,30,*,*,709
2022,Pima Prevention Partnership dba Pima Partnership Academy,89864,Pima Partnership Academy,89865,*,*,*,51,*,*,*,61
2022,"AZ Compass Schools, Inc.",89869,AZ Compass Prep School,89870,*,64,56,70,25,*,17,234
2022,Blue Adobe Project,89871,Sky Islands,89872,*,*,*,32,38,*,*,74
2022,Daisy Education Corporation dba Sonoran Science Academy - Phoenix,89914,Sonoran Science Academy - Phoenix,80974,37,*,219,76,41,*,*,383
2022,Daisy Education Corporation dba Sonoran Science Academy East,89915,Sonoran Science Academy East,89916,30,*,19,210,157,*,32,449
2022,Daisy Education Corporation dba Paragon Science Academy,89917,Paragon Science Academy,89918,107,*,167,43,184,*,18,523
2022,ASCEND (Autism Spectrum Center for Educational and Neurological Development),89922,ASCEND (Autism Spectrum Center for Educational and Neurological Development),89923,*,*,*,*,*,*,*,*
2022,ASU Preparatory Academy,89949,ASU Preparatory Academy- Phoenix Elementary,90271,*,*,51,296,33,*,14,400
2022,"Haven Montessori Children's House, Inc.",89951,Haven Montessori Charter School,89952,*,*,*,*,53,*,*,73
2022,"Imagine Prep Coolidge, Inc.",90034,Imagine Prep Coolidge,90035,*,84,38,284,80,*,25,513
2022,"West Valley Arts and Technology Academy, Inc.",90036,Riverbend Prep,90037,*,11,77,160,20,*,*,283
2022,"Mingus Mountain Estate Residential Center, Inc.",90048,Mingus Mountain Academy,90049,*,*,*,*,11,*,*,26
2022,"Mingus Mountain Estate Residential Center, Inc.",90048,Sequel Learning Academy,263569,*,*,*,*,*,*,*,*
2022,"Mingus Mountain Estate Residential Center, Inc.",90048,Mingus Mountain Academy (Phoenix),1000153,*,*,*,*,*,*,*,*
2022,"Mingus Mountain Estate Residential Center, Inc.",90048,Casa Grande Academy,1001163,*,*,*,*,*,*,*,*
2022,Specialized Education of Arizona,90052,Sierra Academy of Scottsdale,90053,*,*,*,*,*,*,*,14
2022,Specialized Education of Arizona,90052,Sierra School of Peoria,90400,*,*,*,15,32,*,*,56
2022,Specialized Education of Arizona,90052,Sierra School at Liberty,1000293,*,*,*,*,*,*,*,15
2022,Specialized Education of Arizona,90052,Sierra School of Gilbert,1000305,*,*,*,*,*,*,*,19
2022,Specialized Education of Arizona,90052,Sierra School at Flowing Wells,1000320,*,*,*,*,*,*,*,14
2022,Specialized Education of Arizona,90052,Sierra School at Sunnyside,1000322,*,*,*,*,*,*,*,*
2022,Mountain Institute JTED,90090,MIJTED - Yavapai College CTEC,90406,*,*,*,14,*,*,*,24
2022,Mountain Institute JTED,90090,MIJTED - Bagdad High School,90408,*,*,*,*,*,*,*,*
2022,Mountain Institute JTED,90090,MIJTED - Prescott High School,90410,*,*,*,*,*,*,*,*
2022,Mountain Institute JTED,90090,MICTED - Medical,1000195,*,*,*,*,*,*,*,*
2022,Western Arizona Vocational District #50,90123,WAVE - Kingman High School,90305,*,*,*,*,*,*,*,*
2022,Western Arizona Vocational District #50,90123,WAVE- Lee Williams High School,90686,*,*,*,*,*,*,*,*
2022,Western Arizona Vocational District #50,90123,WAVE-Arizona Western College,90851,*,*,*,*,*,*,*,*
2022,Western Arizona Vocational District #50,90123,WAVE - Mohave Community College,90889,*,*,*,*,*,*,*,*
2022,Western Arizona Vocational District #50,90123,WAVE-Central Campus,92949,*,*,*,*,*,*,*,*
2022,"Choice Academies, Inc.",90138,Adams Traditional Academy,90139,186,*,15,53,242,*,27,527
2022,"Choice Academies, Inc.",90138,Jefferson Preparatory High School,92636,*,*,*,16,65,*,11,113
2022,Pioneer Preparatory School,90140,Pioneer Preparatory - A Challenge Foundation,90141,*,*,*,382,*,*,*,391
2022,"Imagine Superstition Middle, Inc.",90160,Imagine Superstition Middle,90161,*,*,*,50,71,*,*,127
2022,"Imagine Avondale Middle, Inc.",90162,Imagine Avondale Middle,90163,*,*,31,192,17,*,*,250
2022,"Morrison Education Group, Inc.",90192,Sun Valley Academy,90193,*,*,163,308,35,*,18,544
2022,"Academy Del Sol, Inc.",90199,Academy Del Sol,90200,*,*,13,133,44,*,*,199
2022,"Academy Del Sol, Inc.",90199,Academy Del Sol - Hope,90770,*,*,*,474,35,*,*,526
2022,Educational Options Foundation,90201,EdOptions Preparatory Academy,90202,*,*,*,79,*,*,*,79
2022,Educational Options Foundation,90201,EdOptions HS Learning Center,90844,*,29,17,165,218,*,20,458
2022,ASU Preparatory Academy,90273,ASU Preparatory Academy - South Phoenix Intermediate,90274,*,*,*,104,*,*,*,115
2022,Research Based Education Corporation,90275,Paulden Community School,90276,*,*,*,30,69,*,*,100
2022,Daisy Education Corporation dba. Sonoran Science Academy Davis Monthan,90284,Sonoran Science Academy - Davis Monthan,90285,*,*,*,61,55,*,13,155
2022,"The Odyssey Preparatory Academy, Inc.",90287,The Odyssey Preparatory Academy,90772,*,*,35,313,167,*,26,554
2022,"The Odyssey Preparatory Academy, Inc.",90287,The Odyssey Preparatory Academy Goodyear,91205,12,*,34,247,297,*,44,638
2022,"The Odyssey Preparatory Academy, Inc.",90287,Odyssey Institute for Advanced and International Studies,91825,26,13,98,700,849,13,97,1796
2022,"The Odyssey Preparatory Academy, Inc.",90287,The Odyssey Preparatory Academy - Sienna Hills,92233,*,*,15,220,223,*,35,500
2022,"Vector School District, Inc.",90317,Vector Prep and Arts Academy,90318,*,36,48,74,21,*,12,194
2022,"CAFA, Inc. dba Learning Foundation and Performing Arts Gilbert",90327,Learning Foundation and Performing Arts Gilbert,88289,*,*,57,105,193,*,36,402
2022,"CAFA, Inc. dba Learning Foundation and Performing Arts Gilbert",90327,Learning Foundation and Performing Arts Warner,92235,*,*,53,119,128,*,35,346
2022,"CAFA, Inc. dba Learning Foundation and Performing Arts Alta Mesa",90328,Learning Foundation and Performing Arts Alta Mesa,88290,*,*,21,32,35,*,*,97
2022,"Skyline Gila River Schools, LLC",90329,Skyline D5,89941,*,214,*,*,*,*,*,223
2022,Kaizen Education Foundation dba Vista Grove Preparatory Academy Elementary,90330,Kaizen Education Foundation dba Vista Grove Preparatory Academy Elementary,89867,*,*,14,51,*,*,*,83
2022,CPLC Community Schools dba Hiaki High School,90331,Envision High School,87412,*,*,*,61,*,*,*,74
2022,Kaizen Education Foundation dba Gilbert Arts Academy,90333,Kaizen Education Foundation dba Gilbert Arts Academy,89866,*,*,11,52,86,*,14,171
2022,Kaizen Education Foundation dba Liberty Arts Academy,90334,Liberty Arts Academy,89868,*,*,12,108,161,*,31,330
2022,"St. Dominic Savio Academy, LLC",90471,St. Dominic Savio Academy,90472,*,*,*,*,*,*,*,*
2022,Ed Ahead,90506,Academy Adventures Midtown,90507,*,*,*,18,*,*,*,35
2022,"BASIS Charter Schools, Inc.",90508,BASIS Oro Valley,90509,179,*,16,102,246,*,25,574
2022,Anthem Preparatory Academy,90532,Great Hearts Academies - Anthem Prep,90635,48,*,*,120,543,*,58,783
2022,"Compass Points International, Inc",90533,Northpoint Expeditionary Learning Academy,88388,*,*,*,31,118,*,13,166
2022,Kaizen Education Foundation dba Havasu Preparatory Academy,90535,Havasu Preparatory Academy,91157,*,*,*,50,137,*,11,206
2022,Pima Prevention Partnership,90536,Arizona Collegiate High School,90907,*,*,11,127,*,*,*,142
2022,"South Valley Academy, Inc.",90540,South Valley Prep and Arts School,91122,*,*,90,122,24,*,*,259
2022,Daisy Education Corporation dba. Sonoran Science Academy Peoria,90541,Sonoran Science Academy-Peoria,90639,*,*,27,48,117,*,20,224
2022,Kaizen Education Foundation dba Mission Heights Preparatory High School,90548,Mission Heights Preparatory High School,91158,11,15,12,185,191,*,14,430
2022,Kaizen Education Foundation dba Mission Heights Preparatory High School,90548,Leona Connected High School,1001670,*,*,*,50,18,*,*,85
2022,Leading Edge Academy Maricopa,90637,Leading Edge Academy Maricopa,90638,14,17,113,344,245,*,54,797
2022,Arizona Education Solutions,90758,Astravo Online Academy,91184,*,34,87,311,238,*,*,677
2022,Arizona Education Solutions,90758,Astravo Online Academy,91246,*,34,61,191,248,*,*,543
2022,"Arizona Agribusiness & Equine Center, Inc.",90779,Arizona Agribusiness & Equine Center - Estrella,90780,28,*,20,239,138,*,25,454
2022,"BASIS Charter Schools, Inc.",90841,BASIS Peoria,91055,649,*,39,43,173,*,32,943
2022,"BASIS Charter Schools, Inc.",90842,BASIS Chandler,91056,917,*,45,43,111,*,29,1150
2022,Archway Classical Academy Scottsdale,90857,Great Hearts Academies - Archway Scottsdale,90994,113,*,*,121,742,*,81,1076
2022,Trivium Preparatory Academy,90859,Great Hearts Academies - Trivium Prep,91156,84,*,55,301,376,*,74,901
2022,Maryvale Preparatory Academy,90861,Great Hearts Academies - Maryvale Prep,91781,14,*,52,764,48,*,19,899
2022,"BASIS Charter Schools, Inc.",90862,BASIS Flagstaff,90863,93,23,*,115,484,*,61,785
2022,"Institute for Transformative Education, Inc.",90876,Changemaker High School,91782,*,*,*,36,*,*,*,43
2022,"Academy of Mathematics and Science South, Inc.",90878,Academy of Mathematics and Science South,92197,*,*,38,500,27,*,*,569
2022,"Academy of Mathematics and Science South, Inc.",90878,Academy of Math and Science Desert Sky,911531,*,*,62,1173,39,*,*,1292
2022,"Academy of Mathematics and Science South, Inc.",90878,Academy of Math and Science Peoria Advanced,1000118,17,11,160,407,123,*,*,721
2022,"Academy of Mathematics and Science South, Inc.",90878,Academy of Math and Science Glendale,1000119,20,*,208,898,105,*,*,1245
2022,"Academy of Mathematics and Science South, Inc.",90878,Academy of Math and Science Avondale,1000378,18,*,139,833,68,*,*,1071
2022,"Academy of Mathematics and Science South, Inc.",90878,Academy of Math and Science South Mountain,1000379,*,*,135,605,48,*,*,803
2022,North Phoenix Preparatory Academy,90879,Great Hearts Academies - North Phoenix Prep,91422,56,*,15,105,280,*,24,484
2022,"George Gervin Youth Center, Inc.",90884,George Gervin Prep Academy,91712,*,*,56,96,*,*,*,170
2022,Ball Charter Schools (Val Vista),90885,Ball Charter Schools (Val Vista),91791,19,*,31,71,245,*,33,406
2022,"La Tierra Community School, Inc",90900,La Tierra Community School,91151,*,*,*,14,82,*,*,101
2022,Happy Valley East,90906,Happy Valley School East Campus,91818,11,*,47,161,284,*,*,509
2022,Archway Classical Academy Trivium West,90915,Great Hearts Academies - Archway Trivium West,91001,43,*,28,184,230,*,38,531
2022,Archway Classical Academy Trivium West,90915,Great Hearts Online - Arizona,1001717,296,*,14,88,121,*,31,552
2022,Archway Classical Academy Veritas,90916,Great Hearts Academies - Archway Veritas,91000,33,*,12,118,491,*,54,715
2022,Archway Classical Academy Chandler,90917,Great Hearts Academies - Archway Chandler,90999,89,*,19,95,243,12,67,529
2022,"Pima Rose Academy, Inc.",90997,Pima Rose Academy,90998,*,30,*,316,23,*,*,379
2022,South Phoenix Academy Inc.,91108,South Phoenix Prep and Arts Academy,91109,*,*,132,157,20,*,17,345
2022,Scottsdale Country Day School,91110,Scottsdale Country Day School,91111,*,*,12,21,101,*,*,145
2022,"Arizona Agribusiness & Equine Center, Inc.",91131,"Arizona Agribusiness & Equine Center, Inc. - Prescott Valley",91132,*,*,*,55,268,*,*,333
2022,Legacy Traditional School - Chandler,91133,Legacy Traditional School - Chandler,91134,211,*,73,238,569,*,89,1188
2022,Legacy Traditional School - Avondale,91135,Legacy Traditional School - Avondale,91136,33,*,129,804,273,*,77,1331
2022,Legacy Traditional School - Northwest Tucson,91137,Legacy Traditional School - Northwest Tucson,91138,37,*,20,496,694,*,82,1337
2022,"EAGLE College Prep Harmony, LLC",91170,EAGLE College Prep Phoenix South,91171,*,*,33,113,*,*,*,164
2022,Leading Edge Academy Queen Creek,91174,Leading Edge Academy Mountain View,91175,*,*,20,135,217,*,28,409
2022,"Open Doors Community School, Inc.",91238,Open Doors Community School,91789,*,*,*,47,37,*,*,92
2022,"The Paideia Academies, Inc",91250,The Paideia Academy of South Phoenix,91775,*,*,126,448,41,*,*,631
2022,"The Paideia Academies, Inc",91250,Paideia Liberal Arts Academy,1001431,*,*,29,136,*,*,*,178
2022,Hirsch Academy A Challenge Foundation,91275,Hirsch Academy A Challenge Foundation,92223,*,*,*,143,*,*,*,163
2022,Empower College Prep,91277,Empower College Prep,91783,12,*,69,497,14,*,*,610
2022,Empower College Prep,91277,Empower College Prep High School,92975,*,*,39,313,*,*,*,364
2022,"BASIS Charter Schools, Inc.",91280,BASIS Phoenix,91343,433,*,18,51,199,*,24,727
2022,ASU Preparatory Academy,91303,ASU Preparatory Academy- Phoenix High School,91304,*,*,26,262,22,*,*,329
2022,ASU Preparatory Academy,91305,ASU Preparatory Academy-Polytechnic High School,91306,21,*,25,188,157,*,23,423
2022,ASU Preparatory Academy,91307,ASU Preparatory Academy-Polytechnic Elementary,91308,11,*,17,181,207,*,34,461
2022,"BASIS Charter Schools, Inc.",91309,BASIS Tucson North,91766,234,11,43,211,316,*,46,862
2022,Reid Traditional Schools' Painted Rock Academy Inc.,91317,Reid Traditional Schools' Painted Rock Academy,91318,90,*,37,131,202,*,47,513
2022,Incito Schools,91326,Incito Schools,92230,*,*,23,120,81,*,*,233
2022,Incito Schools,91326,Incito Schools-Phoenix,1000253,*,*,*,*,*,*,*,11
2022,Kaizen Education Foundation dba Discover U Elementary School,91328,Desert Mirage Preparatory Academy,92224,*,*,*,83,29,*,*,130
2022,Kaizen Education Foundation dba Advance U,91329,South Mountain Preparatory Academy,92225,*,*,13,45,*,*,*,65
2022,"BASIS Charter Schools, Inc.",91339,BASIS Ahwatukee,92030,414,*,53,47,159,*,42,720
2022,The Farm at Mission Montessori Academy,91340,Mission Montessori Academy's Middle Years Program,92247,*,*,*,*,36,*,*,47
2022,Archway Classical Academy North Phoenix,91758,Great Hearts Academies - Archway North Phoenix,91785,99,*,16,154,488,*,60,820
2022,Legacy Traditional School – Laveen Village,91763,Legacy Traditional School – Laveen Village,91764,26,13,165,606,146,*,58,1019
2022,Autism Academy of Education and Development,91877,Autism Academy of Education and Development,91919,*,*,*,*,*,*,*,*
2022,Autism Academy of Education and Development,91877,Autism Academy for Education and Development - Tempe,92639,*,*,*,*,*,*,*,*
2022,Autism Academy of Education and Development,91877,Autism Academy for Education and Development,92679,*,*,*,*,*,*,*,*
2022,Archway Classical Academy Glendale,91878,Great Hearts Academies - Archway Glendale,91879,41,*,11,81,379,*,35,556
2022,CASA Academy,91934,CASA Academy,92498,19,*,52,136,*,*,*,211
2022,Madison Highland Prep,91935,Madison Highland Prep,92605,11,*,20,246,170,*,20,474
2022,"Western School of Science and Technology, Inc.",91937,Western School of Science and Technology,92619,*,*,*,514,*,*,*,531
2022,"EAGLE College Prep Maryvale, LLC",91938,EAGLE College Prep Maryvale,92563,*,*,17,376,*,*,*,400
2022,"EAGLE College Prep Mesa, LLC.",91939,EAGLE College Preparatory School- Mesa,92601,*,*,13,155,*,*,*,175
2022,"Vista College Preparatory, Inc.",91948,Vista College Preparatory,92177,*,*,47,210,*,*,*,269
2022,"Vista College Preparatory, Inc.",91948,Vista College Prep - Sueño Park,425015,*,*,49,307,*,*,*,365
